CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup
CCC(C)CC(C)CCCCCCCCC(=O)N[C@@H](C[C@@H](O)[C@H](NC1=O)NCCN)C(=O)N[C@@H]([C@H](O)C)C(=O)N(C[C@@H](C2)O)[C@@H]2C(=O)N[C@@H]([C@H](O)[C@@H](O)c3ccc(O)cc3)C(=O)N[C@@H]([C@H](O)CCN)C(=O)N([C@H]14)CC[C@@H]4O,Caspofungin,0.14,0.43,,0.3,0.13,0.5,,0.3,0.035,,,
Cn1nnnc1SCC(CS2)=C(C(=O)O)N([C@H]23)C(=O)[C@H]3NC(=O)[C@H](O)c4ccccc4,Cefamandole,3.6,21.8,,,0.16,0.25,,,0.25,,,
Cc1nnc(s1)SCC(CS2)=C(C(=O)O)N([C@H]23)C(=O)[C@H]3NC(=O)Cn4nnnc4,Cefazolin,0.89,5.4,3.5,1.9,0.12,0.17,0.27,0.13,0.18,0.08,0.7,0.08
[H]/N=C(\[O-])C12CC[N+](CC1)(CC2)CC(CS3)=C(C(=O)O)N([C@H]34)C(=O)[C@H]4NC(=O)/C(=N\OC)c5nc(sn5)N,Cefclidin,1.7,,3.3,,0.27,,0.23,,,,,
C1CCC[N+]1(C)CC(CS2)=C(C([O-])=O)N([C@H]23)C(=O)[C@H]3NC(=O)/C(=N\OC)c4nc(N)sc4,Cefepime,2.2,11,2.2,1.6,0.28,0.38,0.14,0.2,0.78,0.9,0.5182,
C=CC(CS1)=C(C(=O)O)N([C@H]12)C(=O)[C@H]2NC(=O)/C(=N\OCC(=O)O)c3nc(N)sc3,Cefixime,1,6,0.4,,0.24,0.4,0.24,,0.31,0.4,0.07,
Cn1nnnc1SCC(CS2)=C(C(=O)O)N([C@H]23)C(=O)[C@H]3NC(=O)/C(=N\OC)c4nc(N)sc4,Cefmenoxime,3.65,7.46,8.91,,0.2,0.28,0.3,,,,,
N#CCSCC(=O)N[C@]1(OC)C(=O)N([C@@H]12)C(C(=O)O)=C(CS2)CSc3nnnn3C,Cefmetazole,1.5,25.3,8,3.3,0.13,0.35,0.9,0.3,0.15,0.55,0.75,0.34
Nc1scc(n1)/C(=N/OC)C(=O)N[C@@H]2C(=O)N([C@@H]23)C(C(=O)O)=C(CS3)CSc4sc(c(n4)C)CC(=O)O,Cefodizime,0.61,1.1,4.1,1.2,0.05,0.18,0.26,0.15,0.18,0.0097,0.2433,1
Cn1nnnc1SCC(CS2)=C(C(=O)O)N([C@H]23)C(=O)[C@H]3NC(=O)[C@@H](c4ccc(O)cc4)NC(=O)N5CCN(C(=O)C5=O)CC,Cefoperazone,1.3,23,5.8,0.96,0.17,0.39,0.28,0.13,0.07,0.36,0.5902,0.2744
NCc1ccccc1CC(=O)N[C@@H]2C(=O)N([C@@H]23)C(C(=O)O)=C(CS3)CSc4nnnn4CC(=O)O,Ceforanide,0.66,5.4,6.5,,0.17,0.5,0.5,,0.19,,,
OCCn1c(N)cc[n+]1CC(CS2)=C(C([O-])=O)N([C@H]23)C(=O)[C@H]3NC(=O)/C(=N\OC)c4nc(N)sc4,Cefoselis,1.77,9.6,3.5,1.9,0.3,0.2,0.39,0.28,,,,
O=C(C)OCC(CS1)=C(C(=O)O)N([C@H]12)C(=O)[C@H]2NC(=O)/C(=N\OC)c3nc(N)sc3,Cefotaxime,2.7,,8.13,,0.19,,0.5,,0.6,0.59,,
